WINE QUALITY PREDICTION SYSTEM,,,,,,,,,,,,,,,
Wine name,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,is red wine,is strong wine,is good wine?
100,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,1,0,bad
101,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,1,0,bad
102,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,1,0,bad
103,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,1,0,bad
104,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,1,0,bad
105,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,1,0,bad
106,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,1,0,bad
107,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,1,0,bad
108,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,1,0,bad
109,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,1,0,bad
110,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,1,0,bad
111,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,1,0,bad
112,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,1,0,bad
113,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,1,0,bad
114,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,1,0,bad
115,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,1,0,bad
116,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,1,0,bad
117,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,1,0,bad
118,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,1,0,bad
119,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,1,0,bad
120,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,1,0,Good
121,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,1,0,bad
122,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,1,0,bad
123,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1,1,bad
124,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1,1,bad
125,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,1,0,bad
126,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,1,0,bad
127,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1,0,bad
128,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,1,0,bad
129,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,1,0,bad
130,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,1,0,bad
131,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,1,0,bad
132,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1,0,bad
133,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,1,0,bad
134,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,1,1,bad
135,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,1,0,bad
136,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,1,1,bad
137,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,1,0,bad
138,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,1,0,bad
139,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,1,0,bad
140,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,1,0,bad
141,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,1,0,bad
142,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,1,0,bad
143,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,1,0,bad
144,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,1,0,bad
145,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1,0,bad
146,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,1,0,bad
147,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1,0,bad
148,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,1,0,bad
149,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,1,0,bad
150,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,1,0,bad
151,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,1,0,bad
152,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,1,0,bad
153,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,1,0,bad
154,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,1,0,bad
155,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,1,0,bad
156,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,1,0,bad
157,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,1,0,bad
158,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,1,0,bad
159,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,1,0,bad
160,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,1,0,bad
161,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,1,0,bad
162,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,1,0,bad
163,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,1,1,bad
164,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,1,0,bad
165,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,1,0,bad
166,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,1,0,bad
167,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,1,0,bad
168,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,1,0,bad
169,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,1,0,bad
170,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,1,0,bad
171,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,1,0,bad
172,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,1,0,bad
173,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,1,0,bad
174,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,1,0,bad
175,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,1,0,bad
176,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,1,0,bad
177,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,1,0,bad
178,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,1,0,bad
179,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,1,0,bad
180,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,1,0,bad
181,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,1,0,bad
182,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,1,0,bad
183,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,1,0,bad
184,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,1,0,bad
185,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,1,0,bad
186,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,1,0,bad
187,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,1,0,bad
188,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,1,1,Good
189,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,1,1,bad
190,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,1,0,Good
191,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5,1,0,bad
192,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,1,0,bad
193,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,1,0,bad
194,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,1,0,bad
195,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,1,0,Good
196,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,1,0,Good
197,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,1,0,bad
198,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,1,0,bad
199,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,1,0,Good
200,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,1,1,bad
201,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,1,0,bad
202,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,1,0,bad
203,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,1,0,bad
204,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,1,0,bad
205,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,1,0,bad
206,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,1,0,bad
207,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,1,0,bad
208,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,1,0,bad
209,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,1,0,bad
210,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,1,0,bad
211,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,1,0,bad
212,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,1,0,bad
213,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,1,0,bad
214,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4,1,0,bad
215,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,1,0,bad
216,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,1,0,bad
217,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,1,0,bad
218,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,1,0,bad
219,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,1,1,Good
220,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,1,0,bad
221,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,1,0,bad
222,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,1,0,bad
223,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,1,0,bad
224,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,1,0,bad
225,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,1,0,bad
226,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6,1,0,bad
227,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,1,0,bad
228,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,1,0,bad
229,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,1,0,bad
230,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,1,0,bad
231,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,1,0,bad
232,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,1,0,bad
233,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,1,0,bad
234,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5,1,0,bad
235,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,1,0,bad
236,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,1,0,bad
237,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6,1,0,bad
238,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,1,0,bad
239,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5,1,0,bad
240,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,1,0,bad
241,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,1,0,bad
242,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,1,0,bad
243,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,1,0,bad
244,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,1,0,bad
245,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,1,0,Good
246,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,1,0,bad
247,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,1,0,bad
248,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,1,0,bad
249,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,1,0,bad
250,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,1,0,bad
251,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7,1,0,Good
252,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,1,0,bad
253,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,1,1,Good
254,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,1,0,bad
255,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,1,0,bad
256,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,1,0,bad
257,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,1,0,bad
258,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,1,0,bad
259,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,1,0,bad
260,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5,1,0,bad
261,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,1,0,bad
262,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,1,0,bad
263,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,1,0,bad
264,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,1,1,Good
265,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,1,0,Good
266,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,1,0,bad
267,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,1,0,Good
268,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5,1,0,bad
269,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,1,0,Good
